Draw Date,Winning Numbers,Cash Ball
11/02/2021,15 28 33 39 50,03
11/01/2021,16 19 29 42 50,02
10/31/2021,31 35 48 57 58,04
10/30/2021,20 33 37 45 48,03
10/29/2021,29 34 39 47 54,01
10/28/2021,06 08 09 10 42,01
10/27/2021,19 26 54 55 60,04
10/26/2021,03 05 23 37 46,04
10/25/2021,18 35 46 47 51,03
10/24/2021,09 13 30 36 40,04
10/23/2021,08 24 32 34 46,03
10/22/2021,16 46 51 52 54,02
10/21/2021,07 20 35 52 60,02
10/20/2021,03 05 28 33 42,04
10/19/2021,09 32 34 35 52,02
10/18/2021,07 13 34 38 59,04
10/17/2021,14 19 25 27 39,02
10/16/2021,04 25 26 44 58,04
10/15/2021,04 11 21 34 38,03
10/14/2021,07 08 34 55 56,03
10/13/2021,08 10 14 15 35,01
10/12/2021,09 20 22 53 57,01
10/11/2021,01 08 17 38 47,03
10/10/2021,22 23 40 46 55,04
10/09/2021,09 12 28 48 57,01
10/08/2021,16 26 38 42 56,02
10/07/2021,06 10 21 38 48,02
10/06/2021,02 10 14 28 31,03
10/05/2021,06 14 26 35 48,03
10/04/2021,16 27 43 48 56,01
10/03/2021,18 24 50 52 59,01
10/02/2021,02 14 17 26 55,01
10/01/2021,04 20 39 40 60,03
09/30/2021,15 18 20 21 52,04
09/29/2021,17 20 22 32 56,03
09/28/2021,03 04 12 18 50,04
09/27/2021,03 10 11 21 46,03
09/26/2021,08 09 16 33 37,04
09/25/2021,05 24 37 47 52,04
09/24/2021,15 18 23 36 44,02
09/23/2021,18 27 29 55 58,01
09/22/2021,20 30 47 50 55,04
09/21/2021,04 10 22 38 46,04
09/20/2021,24 26 29 43 52,02
09/19/2021,02 24 26 35 43,04
09/18/2021,15 23 24 29 48,02
09/17/2021,01 03 08 22 37,04
09/16/2021,31 39 49 55 59,02
09/15/2021,22 23 35 43 45,02
09/14/2021,15 16 30 49 58,02
09/13/2021,04 06 40 41 60,03
09/12/2021,01 02 13 44 51,01
09/11/2021,12 18 31 39 60,01
09/10/2021,09 12 15 28 58,01
09/09/2021,03 23 30 55 58,01
09/08/2021,07 15 19 21 49,02
09/07/2021,06 12 30 34 58,02
09/06/2021,11 31 39 42 46,03
09/05/2021,06 22 33 36 56,01
09/04/2021,10 22 33 38 54,04
09/03/2021,33 36 45 51 56,03
09/02/2021,10 13 26 34 55,02
09/01/2021,32 37 40 41 43,01
08/31/2021,05 08 13 15 32,03
08/30/2021,05 09 24 54 58,03
08/29/2021,01 05 26 40 59,04
08/28/2021,01 18 28 32 36,03
08/27/2021,02 16 31 36 56,04
08/26/2021,01 04 11 46 52,02
08/25/2021,03 27 28 37 59,04
08/24/2021,06 10 14 28 58,01
08/23/2021,03 26 27 38 51,01
08/22/2021,20 27 31 37 39,03
08/21/2021,21 38 48 54 56,02
08/20/2021,29 36 46 50 60,01
08/19/2021,03 28 33 43 51,03
08/18/2021,22 39 45 51 53,03
08/17/2021,09 14 15 36 54,04
08/16/2021,12 13 32 36 53,02
08/15/2021,06 09 16 47 54,04
08/14/2021,05 29 30 35 39,03
08/13/2021,10 27 41 51 58,01
08/12/2021,09 10 15 28 46,03
08/11/2021,05 10 13 43 52,01
08/10/2021,01 04 09 21 51,03
08/09/2021,03 06 29 32 35,01
08/08/2021,06 23 31 44 48,02
08/07/2021,05 14 20 23 37,03
08/06/2021,04 09 20 33 43,02
08/05/2021,04 10 11 34 59,04
08/04/2021,02 19 37 52 56,03
08/03/2021,25 42 48 49 53,04
08/02/2021,18 46 48 50 54,04
08/01/2021,11 30 33 47 60,01
07/31/2021,10 21 44 53 58,03
07/30/2021,02 12 15 33 46,01
07/29/2021,04 18 26 34 42,02
07/28/2021,08 11 12 13 23,01
07/27/2021,12 20 22 55 59,03
07/26/2021,09 16 25 27 32,01
07/25/2021,16 34 39 42 51,01
07/24/2021,37 40 49 53 55,03
07/23/2021,03 29 37 42 46,02
07/22/2021,36 50 51 52 55,01
07/21/2021,11 28 45 47 52,03
07/20/2021,07 14 51 55 58,04
07/19/2021,08 15 16 23 41,02
07/18/2021,01 31 40 49 55,03
07/17/2021,08 09 25 35 52,01
07/16/2021,03 09 14 41 46,01
07/15/2021,11 21 39 40 60,01
07/14/2021,10 21 35 46 48,01
07/13/2021,03 23 29 33 46,04
07/12/2021,12 16 54 56 58,02
07/11/2021,12 16 40 54 60,02
07/10/2021,07 08 18 33 52,01
07/09/2021,18 29 40 42 56,02
07/08/2021,01 08 15 21 48,02
07/07/2021,05 12 19 44 46,04
07/06/2021,18 25 30 41 49,02
07/05/2021,03 10 21 28 51,04
07/04/2021,01 03 06 25 48,04
07/03/2021,05 14 28 39 40,02
07/02/2021,01 09 12 13 20,01
07/01/2021,05 32 45 46 54,03
06/30/2021,01 27 29 41 44,04
06/29/2021,01 09 15 30 41,04
06/28/2021,10 19 38 52 60,02
06/27/2021,06 35 36 38 39,04
06/26/2021,03 13 33 41 48,02
06/25/2021,09 28 44 46 53,03
06/24/2021,13 39 41 48 50,04
06/23/2021,10 25 29 31 60,04
06/22/2021,05 07 17 19 33,02
06/21/2021,26 29 41 57 60,04
06/20/2021,21 39 41 45 58,02
06/19/2021,09 12 13 39 54,01
06/18/2021,11 20 26 56 57,01
06/17/2021,03 18 23 50 53,04
06/16/2021,10 32 41 42 51,01
06/15/2021,02 05 11 35 59,01
06/14/2021,18 20 45 57 60,04
06/13/2021,02 08 24 26 43,03
06/12/2021,16 21 23 24 58,04
06/11/2021,08 24 47 48 56,02
06/10/2021,13 19 22 36 55,01
06/08/2021,04 07 09 10 41,04
06/07/2021,06 14 25 28 33,01
06/06/2021,16 25 34 47 51,04
06/05/2021,01 04 26 31 36,04
06/04/2021,06 30 33 49 52,04
06/03/2021,05 07 14 29 40,02
06/02/2021,40 44 46 51 54,03
06/01/2021,21 25 31 54 57,02
05/31/2021,19 22 43 46 54,04
05/30/2021,09 12 34 40 43,02
05/29/2021,06 27 44 51 52,01
05/28/2021,10 11 26 27 57,02
05/27/2021,05 14 21 38 42,03
05/26/2021,03 06 29 58 60,03
05/25/2021,01 16 28 38 41,04
05/24/2021,08 15 19 39 55,02
05/23/2021,08 24 31 39 44,02
05/22/2021,10 18 22 38 54,02
05/21/2021,06 15 23 47 56,01
05/20/2021,01 21 23 50 55,04
05/19/2021,05 07 24 29 31,02
05/18/2021,07 18 29 39 40,04
05/17/2021,31 43 44 46 58,01
05/16/2021,02 05 08 37 41,03
05/15/2021,08 15 24 41 49,03
05/14/2021,03 05 26 35 60,01
05/13/2021,09 33 37 47 55,03
05/12/2021,32 40 41 54 56,02
05/11/2021,06 21 25 56 57,02
05/10/2021,37 42 44 45 52,04
05/09/2021,04 14 33 35 37,03
05/08/2021,01 09 20 49 56,04
05/07/2021,14 20 21 30 47,02
05/06/2021,06 09 16 20 25,04
05/05/2021,02 37 54 56 60,03
05/04/2021,24 28 40 50 54,01
05/03/2021,13 18 27 28 60,02
05/02/2021,24 30 50 52 55,04
05/01/2021,25 33 40 50 53,03
04/30/2021,09 10 32 52 60,01
04/29/2021,04 29 40 41 47,01
04/28/2021,04 22 24 52 59,04
04/27/2021,02 11 20 27 41,04
04/26/2021,07 16 30 34 46,04
04/25/2021,06 10 21 44 50,01
04/24/2021,13 14 35 38 40,02
04/23/2021,13 19 22 35 50,04
04/22/2021,04 08 13 40 59,01
04/21/2021,12 14 22 23 32,01
04/20/2021,13 19 42 52 56,01
04/19/2021,01 06 14 18 33,01
04/18/2021,16 41 46 52 57,03
04/17/2021,15 18 46 48 50,01
04/16/2021,04 11 22 33 36,03
04/15/2021,18 24 44 46 49,04
04/14/2021,02 12 25 56 57,02
04/13/2021,09 30 35 38 59,02
04/12/2021,04 23 26 37 56,03
04/11/2021,01 08 19 39 50,01
04/10/2021,29 30 35 51 55,04
04/09/2021,04 09 35 40 57,01
04/08/2021,09 16 42 54 58,02
04/07/2021,31 33 39 48 50,04
04/06/2021,21 23 25 34 51,02
04/05/2021,19 21 26 39 52,03
04/04/2021,11 17 18 26 54,01
04/03/2021,02 05 24 44 57,02
04/02/2021,10 31 32 41 60,01
04/01/2021,19 36 41 46 55,01
03/31/2021,02 27 35 46 55,02
03/30/2021,10 13 33 36 58,03
03/29/2021,05 28 35 39 60,01
03/28/2021,02 03 07 19 49,01
03/27/2021,07 15 31 48 56,02
03/26/2021,05 12 24 42 59,03
03/25/2021,01 03 13 28 49,03
03/24/2021,13 14 15 16 41,02
03/23/2021,04 06 12 20 51,04
03/22/2021,09 26 31 47 58,02
03/21/2021,02 16 41 55 58,02
03/20/2021,28 33 38 50 59,02
03/19/2021,10 17 25 35 44,02
03/18/2021,09 21 22 37 59,01
03/17/2021,03 26 27 34 36,02
03/16/2021,21 44 45 53 58,03
03/15/2021,04 12 37 46 60,04
03/14/2021,05 09 16 53 57,01
03/13/2021,24 25 32 40 48,01
03/12/2021,06 21 26 41 48,04
03/11/2021,09 19 26 27 57,02
03/10/2021,03 05 18 28 31,02
03/09/2021,06 16 25 40 49,01
03/08/2021,10 17 26 51 52,01
03/07/2021,21 26 39 55 57,03
03/06/2021,02 07 21 32 37,01
03/05/2021,12 27 52 57 60,04
03/04/2021,27 40 42 55 57,04
03/03/2021,15 16 20 42 57,02
03/02/2021,26 44 49 51 54,01
03/01/2021,01 07 45 50 53,02
02/28/2021,02 16 23 48 60,04
02/27/2021,08 18 33 38 53,01
02/26/2021,12 16 32 36 51,04
